strain	cluster	location	date
USA/WA-UW-13070/2020	131	South_King_County	2020-06-30
USA/WA-UW-23278/2020	132	North_King_County	2020-08-07
USA/WA-S2764/2020	132	South_King_County	2020-07-30
USA/WA-UW-24459/2020	132	North_King_County	2020-08-14
USA/WA-UW-11089/2020	133	South_King_County	2020-06-18
USA/WA-UW-21081247136/2021	134	North_King_County	2021-08-12
USA/WA-UW-21073029792/2021	135	South_King_County	2021-07-30
USA/WA-UW-21072459351/2021	135	South_King_County	2021-07-24
USA/WA-CDC-UW21071594609/2021	136	North_King_County	2021-07-15
USA/WA-S10816/2021	137	South_King_County	2021-07-13
USA/WA-S9874/2021	137	South_King_County	2021-07-19
USA/WA-CDC-UW21071610455/2021	138	North_King_County	2021-07-16
USA/WA-UW-21071468917/2021	139	North_King_County	2021-07-14
USA/WA-S9864/2021	140	North_King_County	2021-07-16
USA/WA-S10285/2021	141	South_King_County	2021-07-13
USA/WA-S11457/2021	141	South_King_County	2021-07-13
USA/WA-CDC-UW21071558100/2021	141	North_King_County	2021-07-15
USA/WA-CDC-UW21071514948/2021	141	North_King_County	2021-07-15
USA/WA-S10628/2021	142	North_King_County	2021-07-16
USA/WA-CDC-STM-000704927/2021	143	North_King_County	2021-06-28
USA/WA-UW-21072362928/2021	144	North_King_County	2021-07-23
USA/WA-CDC-UW21072111405/2021	145	North_King_County	2021-07-21
USA/WA-CDC-UW21072134072/2021	146	North_King_County	2021-07-21
USA/WA-CDC-LC0127288/2021	146	North_King_County	2021-07-22
USA/WA-UW-21072414459/2021	146	North_King_County	2021-07-24
USA/WA-S10418/2021	147	North_King_County	2021-07-09
USA/WA-CDC-UW21073021831/2021	148	North_King_County	2021-07-30
USA/WA-CDC-UW21073022644/2021	148	North_King_County	2021-07-30
USA/WA-UW-21072234110/2021	148	North_King_County	2021-07-22
USA/WA-UW-21072723046/2021	148	South_King_County	2021-07-27
USA/WA-CDC-UW21073092429/2021	148	South_King_County	2021-07-30
USA/WA-CDC-UW21073143074/2021	148	North_King_County	2021-07-31
USA/WA-UW-21082090499/2021	148	North_King_County	2021-08-20
USA/WA-UW-21072814727/2021	148	North_King_County	2021-07-28
USA/WA-CDC-UW21081833771/2021	148	North_King_County	2021-08-18
USA/WA-UW-21072414448/2021	148	North_King_County	2021-07-24
USA/WA-UW-21080254304/2021	148	North_King_County	2021-08-02
USA/WA-CDC-UW21080556032/2021	148	North_King_County	2021-08-05
USA/WA-CDC-UW21073014924/2021	148	North_King_County	2021-07-30
USA/WA-CDC-UW21072663363/2021	149	South_King_County	2021-07-26
USA/WA-UW-21072104762/2021	150	South_King_County	2021-07-21
USA/WA-S9580/2021	151	North_King_County	2021-07-07
USA/WA-PHL-001180/2021	152	North_King_County	2021-07-11
USA/WA-Altius-ALTCOV-YSWCFKN5YQEQEYU7/2021	153	South_King_County	2021-06-05
USA/WA-UW-21070849153/2021	154	North_King_County	2021-07-08
USA/WA-S10195/2021	155	South_King_County	2021-07-20
USA/WA-Altius-ALTCOV-QDD6NRBUV624VVBB/2021	156	South_King_County	2021-05-17
USA/WA-CDC-UW21051796472/2021	157	South_King_County	2021-05-17
USA/WA-S9100/2021	157	South_King_County	2021-05-14
USA/WA-S9048/2021	157	North_King_County	2021-06-09
USA/WA-UW-21071658258/2021	158	South_King_County	2021-07-16
USA/WA-CDC-UW21090783458/2021	159	North_King_County	2021-09-07
USA/WA-UW-21091439238/2021	159	North_King_County	2021-09-14
USA/WA-CDC-UW21090709262/2021	159	North_King_County	2021-09-07
USA/WA-CDC-UW21090759537/2021	159	North_King_County	2021-09-07
USA/WA-CDC-LC0126802/2021	160	South_King_County	2021-07-15
USA/WA-S9169/2021	161	North_King_County	2021-06-07
USA/WA-S9174/2021	161	North_King_County	2021-06-09
USA/WA-UW-21072498171/2021	162	North_King_County	2021-07-24
USA/WA-Altius-ALTCOV-G6WR3T65WBQJOWVA/2021	163	South_King_County	2021-05-28
USA/WA-S4666/2020	164	North_King_County	2020-11-10
USA/WA-UW-67451/2021	165	South_King_County	2021-03-17
USA/WA-UW-20120909070/2020	166	South_King_County	2020-12-09
USA/WA-UW-22444/2020	167	North_King_County	2020-08-05
USA/WA-S5254/2020	168	North_King_County	2020-08-03
USA/WA-UW-4749/2020	169	North_King_County	2020-03-28
USA/WA-UW-10392/2020	170	South_King_County	2020-06-05
USA/WA-UW-10277/2020	170	South_King_County	2020-06-02
USA/WA-UW-12356/2020	171	North_King_County	2020-06-27
USA/WA-UW-11270/2020	171	South_King_County	2020-06-20
USA/WA-UW-11664/2020	171	South_King_County	2020-06-20
USA/WA-S742/2020	172	South_King_County	2020-04-13
USA/WA-S1150/2020	173	South_King_County	2020-05-05
USA/WA-UW-1433/2020	174	South_King_County	2020-03-18
USA/WA-UW-3946/2020	175	North_King_County	2020-03-27
USA/WA-S772/2020	176	South_King_County	2020-04-14
USA/WA-UW-7188/2020	177	North_King_County	2020-04-13
USA/WA-UW-10305/2020	177	South_King_County	2020-06-03
USA/WA-UW-11487/2020	177	South_King_County	2020-06-24
USA/WA-UW-11196/2020	177	North_King_County	2020-06-19
USA/WA-UW-4726/2020	177	North_King_County	2020-04-06
USA/WA-UW-12324/2020	177	North_King_County	2020-06-27
USA/WA-UW-3997/2020	177	North_King_County	2020-03-29
USA/WA-UW-2700/2020	177	South_King_County	2020-04-22
USA/WA-UW-10396/2020	177	North_King_County	2020-06-05
USA/WA-UW-10766/2020	177	South_King_County	2020-06-11
USA/WA-UW-7675/2020	177	South_King_County	2020-04-18
USA/WA-UW-9407/2020	177	South_King_County	2020-05-17
USA/WA-UW-9569/2020	177	South_King_County	2020-05-20
USA/WA-UW-9333/2020	177	South_King_County	2020-05-13
USA/WA-UW-9339/2020	177	South_King_County	2020-05-13
USA/WA-UW-9338/2020	177	South_King_County	2020-05-13
USA/WA-UW-9229/2020	177	South_King_County	2020-05-13
USA/WA-UW-9230/2020	177	South_King_County	2020-05-14
USA/WA-UW-9068/2020	177	South_King_County	2020-05-11
USA/WA-UW-9233/2020	177	South_King_County	2020-05-15
USA/WA-UW-9600/2020	177	South_King_County	2020-05-22
USA/WA-UW-22363/2020	177	South_King_County	2020-08-08
USA/WA-UW-10247/2020	177	North_King_County	2020-06-01
USA/WA-UW-23400/2020	177	South_King_County	2020-08-10
USA/WA-UW-8698/2020	177	North_King_County	2020-05-06
USA/WA-UW-9032/2020	177	North_King_County	2020-05-10
USA/WA-UW-7882/2020	177	North_King_County	2020-04-21
USA/WA-UW-12401/2020	177	South_King_County	2020-06-27
USA/WA-UW-10298/2020	177	South_King_County	2020-06-03
USA/WA-UW-12171/2020	177	South_King_County	2020-06-26
USA/WA-UW-9368/2020	177	North_King_County	2020-05-16
USA/WA-UW-9361/2020	177	South_King_County	2020-05-15
USA/WA-UW-9291/2020	177	South_King_County	2020-05-14
USA/WA-UW-9580/2020	177	South_King_County	2020-05-20
USA/WA-UW-22460/2020	177	South_King_County	2020-08-05
USA/WA-UW-9014/2020	177	South_King_County	2020-05-12
USA/WA-UW-9578/2020	177	South_King_County	2020-05-20
USA/WA-UW-9255/2020	177	North_King_County	2020-05-15
USA/WA-UW-9244/2020	177	North_King_County	2020-05-15
USA/WA-UW-9308/2020	177	South_King_County	2020-05-15
USA/WA-UW-9235/2020	177	South_King_County	2020-05-15
USA/WA-UW-8158/2020	177	North_King_County	2020-04-25
USA/WA-UW-8813/2020	177	South_King_County	2020-05-07
USA/WA-UW-8526/2020	177	South_King_County	2020-05-04
USA/WA-UW-9439/2020	177	South_King_County	2020-05-18
USA/WA-UW-8873/2020	177	South_King_County	2020-05-09
USA/WA-UW-8831/2020	177	North_King_County	2020-05-08
USA/WA-UW-9460/2020	177	North_King_County	2020-05-18
USA/WA-UW-9016/2020	177	North_King_County	2020-05-12
USA/WA-UW-22418/2020	177	North_King_County	2020-08-07
USA/WA-UW-23384/2020	177	North_King_County	2020-08-10
USA/WA-UW-21754/2020	177	South_King_County	2020-08-05
USA/WA-UW-22157/2020	177	North_King_County	2020-08-05
USA/WA-UW-9266/2020	178	North_King_County	2020-05-15
USA/WA-UW-12367/2020	179	North_King_County	2020-06-27
USA/WA-UW-12360/2020	179	North_King_County	2020-06-27
USA/WA-UW-13090/2020	180	North_King_County	2020-06-30
USA/WA-UW-9819/2020	181	North_King_County	2020-05-26
USA/WA-UW-10582/2020	181	South_King_County	2020-06-11
USA/WA-UW-10161/2020	182	South_King_County	2020-06-02
USA/WA-UW-10408/2020	183	South_King_County	2020-06-05
USA/WA-UW-2186/2020	184	South_King_County	2020-03-25
USA/WA-UW-6525/2020	185	South_King_County	2020-04-04
USA/WA-S946/2020	185	South_King_County	2020-04-27
USA/WA-UW-4746/2020	186	South_King_County	2020-03-27
USA/WA-UW-6546/2020	187	South_King_County	2020-04-04
USA/WA-UW-6496/2020	188	South_King_County	2020-04-03
USA/WA-UW-3539/2020	189	North_King_County	2020-03-26
USA/WA-S294/2020	190	North_King_County	2020-03-23
USA/WA-UW-22175/2020	190	North_King_County	2020-08-05
USA/WA-UW-22286/2020	190	North_King_County	2020-08-06
USA/WA-UW-10230/2020	191	South_King_County	2020-05-30
USA/WA-UW-10217/2020	191	South_King_County	2020-05-30
USA/WA-UW-26862/2020	192	South_King_County	2020-09-01
USA/WA-S4133/2020	193	South_King_County	2020-11-20
USA/WA-S2791/2020	194	North_King_County	2020-08-14
