strain	cluster	location	date	variant
USA/WA-CDC-UW21101036557/2021	121	North_King_County	2021-10-10	delta
USA/WA-CDC-UW21102227705/2021	122	North_King_County	2021-10-22	delta
USA/WA-S12916/2021	124	North_King_County	2021-09-24	delta
USA/WA-CDC-UW22012571860/2022	125	North_King_County	2022-01-25	delta
USA/WA-CDC-UW21091011816/2021	126	North_King_County	2021-09-10	delta
USA/WA-CDC-UW21120336249/2021	127	North_King_County	2021-12-03	delta
USA/WA-CDC-UW21091009870/2021	128	North_King_County	2021-09-10	delta
USA/WA-CDC-UW21092187662/2021	128	South_King_County	2021-09-21	delta
USA/WA-CDC-UW21082869369/2021	128	North_King_County	2021-08-28	delta
USA/WA-UW-21090663628/2021	129	South_King_County	2021-09-06	delta
USA/WA-CDC-UW21091857123/2021	130	North_King_County	2021-09-18	delta
USA/WA-CDC-UW21091022408/2021	131	North_King_County	2021-09-10	delta
USA/WA-UW-21092018715/2021	132	North_King_County	2021-09-20	delta
USA/WA-UW-21100938685/2021	133	North_King_County	2021-10-09	delta
USA/WA-CDC-UW21100286350/2021	134	North_King_County	2021-10-02	delta
USA/WA-S10046/2021	135	South_King_County	2021-07-24	delta
USA/WA-UW-21072879244/2021	136	South_King_County	2021-07-28	delta
USA/WA-CDC-ASC210487081/2021	137	North_King_County	2021-11-18	delta
USA/WA-CDC-UW21113078726/2021	137	North_King_County	2021-11-30	delta
USA/WA-CDC-UW21112200917/2021	137	South_King_County	2021-11-22	delta
USA/WA-CDC-UW21121050721/2021	138	North_King_County	2021-12-10	delta
USA/WA-CDC-UW21121025861/2021	138	North_King_County	2021-12-10	delta
USA/WA-UW-21072866661/2021	139	North_King_County	2021-07-28	delta
USA/WA-CDC-UW21080955191/2021	140	North_King_County	2021-08-09	delta
USA/WA-UW-21081907428/2021	141	South_King_County	2021-08-19	delta
USA/WA-CDC-UW21082724182/2021	141	South_King_County	2021-08-27	delta
USA/WA-CDC-UW21082736783/2021	142	South_King_County	2021-08-27	delta
USA/WA-CDC-UW21072226162/2021	143	South_King_County	2021-07-22	delta
USA/WA-CDC-UW21102295265/2021	144	North_King_County	2021-10-22	delta
USA/WA-UW-21071999848/2021	145	North_King_County	2021-07-19	delta
USA/WA-CDC-UW21080337295/2021	146	South_King_County	2021-08-03	delta
USA/WA-CDC-UW21081446214/2021	147	South_King_County	2021-08-14	delta
USA/WA-UW-21080930098/2021	147	South_King_County	2021-08-09	delta
USA/WA-CDC-UW21082852205/2021	148	North_King_County	2021-08-28	delta
USA/WA-S11951/2021	148	North_King_County	2021-08-22	delta
USA/WA-S10333/2021	149	South_King_County	2021-07-21	delta
USA/WA-S15243/2021	150	South_King_County	2021-09-02	delta
USA/WA-CDC-UW21090912220/2021	151	South_King_County	2021-09-09	delta
USA/WA-CDC-UW21081982252/2021	152	North_King_County	2021-08-19	delta
USA/WA-S8601/2021	153	South_King_County	2021-05-19	delta
USA/WA-CDC-UW21073122746/2021	154	North_King_County	2021-07-31	delta
USA/WA-S12071/2021	155	South_King_County	2021-08-03	delta
USA/WA-UW-21052846720/2021	156	North_King_County	2021-05-28	delta
USA/WA-CDC-UW21041936362/2021	157	North_King_County	2021-04-19	delta
USA/WA-UW-21042792176/2021	158	North_King_County	2021-04-27	delta
USA/WA-CDC-UW21051080450/2021	159	North_King_County	2021-05-10	delta
USA/WA-CDC-UW21051080365/2021	160	North_King_County	2021-05-10	delta
USA/WA-CDC-UW21051280151/2021	160	North_King_County	2021-05-12	delta
USA/WA-S8097/2021	160	North_King_County	2021-05-13	delta
USA/WA-S9097/2021	160	North_King_County	2021-05-16	delta
USA/WA-PHL-001148/2021	160	South_King_County	2021-06-04	delta
USA/WA-S8100/2021	161	North_King_County	2021-05-12	delta
USA/WA-CDC-UW21050334943/2021	162	North_King_County	2021-05-03	delta
USA/WA-UW-2021040904019/2021	163	North_King_County	2021-04-09	delta
USA/WA-Altius-ALTCOV-23ILYPNAGYJLKPQA/2021	163	North_King_County	2021-04-26	delta
USA/WA-UW-2021041231568/2021	164	North_King_County	2021-04-12	delta
USA/WA-UW-21041754443/2021	164	North_King_County	2021-04-17	delta
USA/WA-UW-21041729608/2021	164	North_King_County	2021-04-17	delta
USA/WA-Altius-ALTCOV-AFC7L67BRMXHGRRD/2021	165	South_King_County	2021-04-26	delta
USA/WA-CDC-UW21092599800/2021	166	North_King_County	2021-09-25	delta
USA/WA-UW-21050408080/2021	167	North_King_County	2021-05-04	delta
USA/WA-CDC-UW21050325458/2021	168	North_King_County	2021-05-03	delta
USA/WA-CDC-UW21050633153/2021	168	North_King_County	2021-05-06	delta
USA/WA-UW-21050536587/2021	168	North_King_County	2021-05-05	delta
USA/WA-CDC-UW21071519229/2021	169	North_King_County	2021-07-15	delta
