	strain	Puma	COUNTY
9868	USA/WA-UW-21041949499/2021		King
9869	USA/WA-UW-21042094784/2021		King
9870	USA/WA-UW-21042049018/2021		King
9871	USA/WA-S4642/2021		King
9872	USA/WA-S4430/2021		King
9873	USA/WA-PHL-006571/2021		King
9874	USA/WA-UW-29897/2020		King
9875	USA/WA-CDC-UW21112080336/2021		King
9876	USA/WA-PHL-005673/2021		King
9877	USA/WA-PHL-009759/2021		King
9878	USA/WA-UW-21102144189/2021		King
9879	USA/WA-S5577/2021		King
9880	USA/WA-UW-67852/2021		King
9881	USA/WA-UW-67915/2021		King
9882	USA/WA-S6293/2021		King
9883	USA/WA-UW-67526/2021		King
9884	USA/WA-UW-68471/2021		King
9885	USA/WA-UW-67086/2021		King
9886	USA/WA-UW-67283/2021		King
9887	USA/WA-UW-66140/2021		King
9888	USA/WA-UW-66229/2021		King
9889	USA/WA-UW-68454/2021		King
9890	USA/WA-CDC-WA-CDC-4138977-001/2021		King
9891	USA/WA-CDC-UW21102542761/2021		King
9892	USA/WA-CDC-UW21102632310/2021		King
9893	USA/WA-UW-21041674889/2021		King
9894	USA/WA-UW-21041526001/2021		King
9895	USA/WA-UW-2021041586177/2021		King
9896	USA/WA-UW-2021041517360/2021		King
9897	USA/WA-CDC-UW21122726279/2021		King
9898	USA/WA-PHL-009556/2021		King
9899	USA/WA-CDC-UW21121439021/2021		King
9900	USA/WA-CDC-UW21121420761/2021		King
9901	USA/WA-CDC-UW21121729055/2021		King
9902	USA/WA-UW-4315/2020		King
9903	USA/WA-CDC-LC0360829/2021		King
9904	USA/WA-UW-12760/2020		King
9905	USA/WA-S17870/2022		King
9906	USA/WA-UW-22010430400/2022		King
9907	USA/WA-UW-22011096238/2022		King
9908	USA/WA-CDC-UW21120103320/2021		King
9909	USA/WA-CDC-UW21120169798/2021		King
9910	USA/WA-CDC-UW21110806623/2021		King
9911	USA/WA-CDC-UW21111216879/2021		King
9912	USA/WA-CDC-UW21122746221/2021		King
9913	USA/WA-UW-21091755936/2021		King
9914	USA/WA-S12573/2021		King
9915	USA/WA-UW-21081803602/2021		King
9916	USA/WA-CDC-UW21081633785/2021		King
9917	USA/WA-UW-8437/2020		King
9918	USA/WA-UW-21080716840/2021		King
9919	USA/WA-CDC-UW22010673761/2022		King
9920	USA/WA-CDC-UW22010609553/2022		King
9921	USA/WA-CDC-UW21123031838/2021		King
9922	USA/WA-CDC-UW21123085304/2021		King
9923	USA/WA-UW-21051308994/2021		King
9924	USA/WA-UW-21051549214/2021		King
9925	USA/WA-UW-21090877352/2021		King
9926	USA/WA-S9028/2021		King
9927	USA/WA-CDC-UW21062315547/2021		King
9928	USA/WA-CDC-UW21051809567/2021		King
9929	USA/WA-Altius-ALTCOV-6RB4ABHQXQYK36SG/2021		King
9930	USA/WA-S5036/2020		King
9931	USA/WA-Altius-ALTCOV-TRSVCYYURHH3JBTB/2021		King
9932	USA/WA-S2733/2020		King
9933	USA/WA-CDC-UW21051909385/2021		King
9934	USA/WA-CDC-UW21050632640/2021		King
9935	USA/WA-UW-21052191205/2021		King
9936	USA/WA-UW-21042946331/2021		King
9937	USA/WA-UW-61428/2021		King
9938	USA/WA-Altius-ALTCOV-655MGYGZ6WSKALT3/2021		King
9939	USA/WA-UW-61780/2021		King
9940	USA/WA-S4883/2021		King
9941	USA/WA-UW-62805/2021		King
9942	USA/WA-UW-60365/2021		King
9943	USA/WA-S528/2020		King
9944	USA/WA-UW-4752/2020		King
9945	USA/WA-CDC-UW21082888478/2021		King
9946	USA/WA-UW-3814/2020		King
9947	USA/WA-S16102/2022		King
9948	USA/WA-UW145/2020		King
9949	USA/WA-UW-31407/2020		King
9950	USA/WA-S5893/2021		King
9951	USA/WA-CDC-UW21101478941/2021		King
9952	USA/WA-UW-67916/2021		King
9953	USA/WA-S5911/2021		King
9954	USA/WA-UW-66227/2021		King
9955	USA/WA-PHL-007968/2021		King
9956	USA/WA-CDC-UW21121050721/2021		King
9957	USA/WA-CDC-UW21120931534/2021		King
9958	USA/WA-PHL-009517/2021		King
9959	USA/WA-PHL-008027/2021		King
9960	USA/WA-PHL-007993/2021		King
9961	USA/WA-UW-21080762357/2021		King
9962	USA/WA-CDC-UW21073054639/2021		King
9963	USA/WA-UW-21072986838/2021		King
9964	USA/WA-UW-21072995018/2021		King
9965	USA/WA-UW-21072862420/2021		King
9966	USA/WA-CDC-UW21080512499/2021		King
9967	USA/WA-S8786/2021		King
9968	USA/WA-Altius-ALTCOV-YO242YZRAK36QDEO/2021		King
9969	USA/WA-S16553/2022		King
9970	USA/WA-UW-1994/2020		King
9972	USA/WA-CDC-UW21090142614/2021		King
9973	USA/WA-CDC-UW21062151280/2021		King
9974	USA/WA-S9383/2021		King
9975	USA/WA-CDC-UW21060444434/2021		King
9976	USA/WA-S9171/2021		King
9977	USA/WA-CDC-UW21061489463/2021		King
9978	USA/WA-UW-21060831427/2021		King
9979	USA/WA-CDC-UW21092198440/2021		King
9980	USA/WA-CDC-UW21052000095/2021		King
9981	USA/WA-UW-2021041591648/2021		King
9982	USA/WA-UW-2021040807629/2021		King
9983	USA/WA-UW-2021033106774/2021		King
9984	USA/WA-S6155/2021		King
9985	USA/WA-UW-21102894382/2021		King
9986	USA/WA-UW-2021040650597/2021		King
9987	USA/WA-S18085/2022		King
9989	USA/WA-CDC-UW21111179801/2021		King
9990	USA/WA-S16598/2022		King
9991	USA/WA-CDC-UW21111358686/2021		King
9992	USA/WA-UW-1245/2020		King
9993	USA/WA-Altius-ALTCOV-4D7MJ4GMYFQVUBBH/2021		King
9994	USA/WA-S3499/2020		King
9995	USA/WA-UW-9301/2020		King
9996	USA/WA-UW-9948/2020		King
9997	USA/WA-CDC-LC0181668/2021		King
9998	USA/WA-S7461/2021		King
9999	USA/WA-Altius-ALTCOV-5Q5I34VYC5XGPLVI/2021		King
10000	USA/WA-CDC-UW21050147529/2021		King
10001	USA/WA-UW-21042794504/2021		King
10002	USA/WA-CDC-UW21042749945/2021		King
10003	USA/WA-S15227/2021		King
10004	USA/WA-CDC-UW21042751966/2021		King
10005	USA/WA-S7399/2021		King
10006	USA/WA-Altius-ALTCOV-WAIBVYE4E7O46QDC/2021		King
10007	USA/WA-S17102/2022		King
10008	USA/WA-CDC-UW21072151729/2021		King
10009	USA/WA-CDC-UW21072062519/2021		King
10010	USA/WA-UW-21071297935/2021		King
10011	USA/WA-CDC-UW21072069387/2021		King
10012	USA/WA-UW-21071599999/2021		King
10013	USA/WA-S3297/2020		King
10014	USA/WA-UW-12478/2020		King
10015	USA/WA-S8226/2021		King
10016	USA/WA-CDC-LC0044697/2021		King
10017	USA/WA-S17021/2022		King
10018	USA/WA-CDC-UW21070674143/2021		King
10019	USA/WA-CDC-UW21090958470/2021		King
10020	USA/WA-CDC-LC0233080/2021		King
10021	USA/WA-UW-21090624187/2021		King
10022	USA/WA-CDC-UW21093057946/2021		King
10023	USA/WA-UW-21092959840/2021		King
10024	USA/WA-UW-21090699214/2021		King
10025	USA/WA-S16416/2022		King
10026	USA/WA-CDC-FG-081922/2021		King
10027	USA/WA-UW-21080782200/2021		King
10028	USA/WA-UW-21072980579/2021		King
10029	USA/WA-CDC-UW21073079564/2021		King
10030	USA/WA-S4360/2021		King
10031	USA/WA-S3912/2021		King
10032	USA/WA-S4487/2021		King
10033	USA/WA-CDC-UW21082720272/2021		King
10034	USA/WA-CDC-UW21121746970/2021		King
10035	USA/WA-CDC-UW21102088776/2021		King
10036	USA/WA-UW-21112398124/2021		King
10037	USA/WA-UW-21112227736/2021		King
10038	USA/WA-S17589/2022		King
10039	USA/WA-CDC-UW21082507086/2021		King
10040	USA/WA-UW-66695/2021		King
10041	USA/WA-S8599/2021		King
10042	USA/WA-UW-67273/2021		King
10043	USA/WA-UW-67277/2021		King
10044	USA/WA-UW-67288/2021		King
10045	USA/WA-UW-65369/2021		King
10046	USA/WA-UW-65740/2021		King
10047	USA/WA-Altius-ALTCOV-XXBX633RXTX2AEWB/2021		King
10048	USA/WA-PHL-002546/2021		King
10049	USA/WA-UW-21042482774/2021		King
10050	USA/WA-UW-21050160012/2021		King
10051	USA/WA-S2786/2020		King
10052	USA/WA-S859/2020		King
10053	USA/WA-S3903/2021		King
10054	USA/WA-Altius-ALTCOV-GXXZPXF6TZETM6AO/2021		King
10055	USA/WA-CDC-UW21053156386/2021		King
10056	USA/WA-CDC-UW21060116163/2021		King
10057	USA/WA-S8860/2021		King
10058	USA/WA-S3305/2020		King
10059	USA/WA-CDC-LC0276382/2021		King
10060	USA/WA-CDC-UW21100246195/2021		King
10061	USA/WA-UW-21081217116/2021		King
10062	USA/WA-CDC-UW21090745770/2021		King
10063	USA/WA-UW-21080976141/2021		King
10064	USA/WA-UW-21092527513/2021		King
10065	USA/WA-CDC-UW22011238532/2022		King
10066	USA/WA-S10656/2021		King
10067	USA/WA-UW-21061609708/2021		King
10068	USA/WA-UW-21050792635/2021		King
10069	USA/WA-CDC-UW21051300580/2021		King
10070	USA/WA-UW-21051559565/2021		King
10071	USA/WA-CDC-UW21090856033/2021		King
10072	USA/WA-UW-21041431063/2021		King
10073	USA/WA-UW-2021041049215/2021		King
10074	USA/WA-UW-2021040924067/2021		King
10075	USA/WA-S6529/2021		King
10076	USA/WA-UW-21102882896/2021		King
10077	USA/WA-UW-2021041396591/2021		King
10078	USA/WA-UW-2021033105237/2021		King
10079	USA/WA-UW-68940/2021		King
10080	USA/WA-UW-2021033103688/2021		King
10081	USA/WA-UW-2021040503229/2021		King
10082	USA/WA-Altius-ALTCOV-6P7IOCVNLQQDVOTF/2021		King
10083	USA/WA-Altius-ALTCOV-EWSJ5YM6253CP6E4/2021		King
10084	USA/WA-Altius-ALTCOV-YE3MX4EDDCSCOTRV/2021		King
10085	USA/WA-UW-21050575041/2021		King
10086	USA/WA-Altius-ALTCOV-T2EWZ5PMSS325UBT/2021		King
10088	USA/WA-UW-21050357149/2021		King
10089	USA/WA-UW-21042698791/2021		King
10090	USA/WA-UW-16037/2020		King
10091	USA/WA-CDC-UW21050667198/2021		King
10092	USA/WA-UW-21052846720/2021		King
10093	USA/WA-CDC-UW21050342600/2021		King
10094	USA/WA-CDC-UW21050623261/2021		King
10095	USA/WA-CDC-UW21050604226/2021		King
10096	USA/WA-UW-6439/2020		King
10097	USA/WA-UW-1319/2020		King
10098	USA/WA-S4133/2020		King
10099	USA/WA-UW-6339/2020		King
10100	USA/WA-S17061/2022		King
10101	USA/WA-CDC-UW21050484890/2021		King
10102	USA/WA-Altius-ALTCOV-NBDJ5QXGCUU6C2F6/2021		King
10103	USA/WA-UW-21042365341/2021		King
10104	USA/WA-Altius-ALTCOV-6PK2YXZVHLK7RCUI/2021		King
10105	USA/WA-UW-21042336611/2021		King
10106	USA/WA-UW-21042738998/2021		King
10107	USA/WA-CDC-UW21120144742/2021		King
10108	USA/WA-UW-21111639017/2021		King
10109	USA/WA-CDC-UW21111029357/2021		King
10110	USA/WA-S4168/2020		King
10111	USA/WA-S3796/2020		King
10112	USA/WA-PHL-009596/2021		King
10113	USA/WA-CDC-UW21121321186/2021		King
10114	USA/WA-CDC-UW21121485638/2021		King
10115	USA/WA-CDC-UW21121083802/2021		King
10116	USA/WA-CDC-UW21121482243/2021		King
10117	USA/WA-UW-21042466030/2021		King
10118	USA/WA-Altius-ALTCOV-WA3KQJGDO3V3C7DF/2021		King
10119	USA/WA-CDC-UW21052642783/2021		King
10120	USA/WA-S17297/2022		King
10121	USA/WA-UW-12388/2020		King
10122	USA/WA-Altius-ALTCOV-77KTTDWF6LQ5SCQ7/2021		King
10123	USA/WA-UW-21041929313/2021		King
10124	USA/WA-UW-21042021756/2021		King
10125	USA/WA-S3303/2020		King
10126	USA/WA-CDC-UW21091646191/2021		King
10127	USA/WA-UW-21041746523/2021		King
10128	USA/WA-S16546/2022		King
10129	USA/WA-S16423/2022		King
10130	USA/WA-PHL-005116/2021		King
10131	USA/WA-CDC-UW21122806566/2021		King
10132	USA/WA-PHL-006583/2021		King
10133	USA/WA-CDC-UW21100984177/2021		King
10134	USA/WA-S12473/2021		King
10135	USA/WA-CDC-UW21081228156/2021		King
10136	USA/WA-UW-61724/2021		King
10137	USA/WA-CDC-UW21100909087/2021		King
10138	USA/WA-UW-21092951216/2021		King
10139	USA/WA-S18183/2022		King
10140	USA/WA-S16904/2022		King
10141	USA/WA-S11922/2021		King
10142	USA/WA-S18208/2022		King
10143	USA/WA-S16476/2022		King
10145	USA/WA-CDC-UW21111348560/2021		King
10146	USA/WA-CDC-UW21110942364/2021		King
10147	USA/WA-PHL-007096/2021		King
10148	USA/WA-UW-12355/2020		King
10149	USA/WA-UW-4603/2020		King
10150	USA/WA-UW-2320/2020		King
10151	USA/WA-S4277/2021		King
10152	USA/WA-S5170/2021		King
10153	USA/WA-CDC-UW21122879269/2021		King
10154	USA/WA-UW-21070987398/2021		King
10155	USA/WA-S17614/2022		King
10157	USA/WA-S17679/2022		King
10158	USA/WA-S17661/2022		King
10159	USA/WA-CDC-UW21082856053/2021		King
10160	USA/WA-CDC-UW22010888005/2022		King
10161	USA/WA-S4494/2021		King
10163	USA/WA-S4257/2021		King
10164	USA/WA-UW-61249/2021		King
10165	USA/WA-S5775/2021		King
10166	USA/WA-CDC-UW21050492817/2021		King
10167	USA/WA-CDC-UW21050455407/2021		King
10168	USA/WA-CDC-UW21092571662/2021		King
10169	USA/WA-S12127/2021		King
10170	USA/WA-CDC-UW21081630641/2021		King
10171	USA/WA-UW-1745/2020		King
10172	USA/WA-S6892/2021		King
10174	USA/WA-UW-67378/2021		King
10175	USA/WA-S3397/2020		King
10176	USA/WA-S412/2020		King
10177	USA/WA-UW-3843/2020		King
10178	USA/WA-S16285/2022		King
10179	USA/WA-CDC-UW21123067555/2021		King
10180	USA/WA-CDC-UW21090243188/2021		King
10181	USA/WA-Altius-ALTCOV-5ILOOSLDBMUVSBT2/2021		King
10182	USA/WA-CDC-UW21092553606/2021		King
10183	USA/WA-UW-21092975991/2021		King
10184	USA/WA-S8116/2021		King
10185	USA/WA-UW-21052267539/2021		King
10186	USA/WA-S5181/2021		King
10187	USA/WA-PHL-010384/2022		King
10188	USA/WA-UW-21111800101/2021		King
10189	USA/WA-CDC-UW21101460638/2021		King
10190	USA/WA-CDC-LC0469154/2022		King
10191	USA/WA-S5894/2021		King
10192	USA/WA-Altius-ALTCOV-3TZLFSAQU2H7RODJ/2021		King
10193	USA/WA-CDC-UW21111044865/2021		King
10194	USA/WA-CDC-UW21091641872/2021		King
10195	USA/WA-CDC-UW21082648780/2021		King
10196	USA/WA-CDC-UW22010495723/2022		King
10197	USA/WA-S16326/2022		King
10198	USA/WA-PHL-012785/2022		King
10199	USA/WA-CDC-UW21082696502/2021		King
10200	USA/WA-CDC-UW21082669526/2021		King
10201	USA/WA-CDC-UW21081787507/2021		King
10202	USA/WA-UW-21120331968/2021		King
10203	USA/WA-UW-11703/2020		King
10204	USA/WA-Altius-ALTCOV-S3VHQZ2CKLTWVSCZ/2021		King
10205	USA/WA-S9316/2021		King
10206	USA/WA-UW-21081298349/2021		King
10207	USA/WA-UW-21081260668/2021		King
10208	USA/WA-S9037/2021		King
10209	USA/WA-S3920/2021		King
10210	USA/WA-S4363/2021		King
10211	USA/WA-S619/2020		King
10212	USA/WA-S1489/2020		King
10213	USA/WA-S17794/2022		King
10214	USA/WA-S17351/2022		King
10218	USA/WA-S17389/2022		King
10219	USA/WA-CDC-UW21081680606/2021		King
10220	USA/WA-CDC-UW21081383630/2021		King
10221	USA/WA-CDC-UW21081772568/2021		King
10222	USA/WA-CDC-UW21081644658/2021		King
10223	USA/WA-UW-21122111655/2021		King
10224	USA/WA-S16738/2022		King
10225	USA/WA-CDC-UW22010581018/2022		King
10226	USA/WA-CDC-LC0251088/2021		King
10227	USA/WA-CDC-UW21052506498/2021		King
10228	USA/WA-UW-21060843919/2021		King
10229	USA/WA-UW-21052221881/2021		King
10230	USA/WA-CDC-UW21060477896/2021		King
10231	USA/WA-CDC-UW21052434699/2021		King
10232	USA/WA-UW-21052128312/2021		King
10233	USA/WA-CDC-UW21052430449/2021		King
10234	USA/WA-UW-66416/2021		King
10235	USA/WA-CDC-UW21090950579/2021		King
10236	USA/WA-UW-67267/2021		King
10237	USA/WA-CDC-UW21090902534/2021		King
10238	USA/WA-UW-2021040952286/2021		King
10239	USA/WA-Altius-ALTCOV-SYMY6OFSFAAU3CUY/2021		King
10240	USA/WA-UW-2021041001388/2021		King
10241	USA/WA-S4606/2021		King
10242	USA/WA-CDC-UW21080213619/2021		King
10243	USA/WA-CDC-UW21081415959/2021		King
10244	USA/WA-S10713/2021		King
10245	USA/WA-CDC-UW21073047575/2021		King
10246	USA/WA-CDC-UW21082873148/2021		King
10247	USA/WA-S12487/2021		King
10248	USA/WA-UW-2021040506531/2021		King
10249	USA/WA-Altius-ALTCOV-NXECSZOTMUEZHXGN/2021		King
10250	USA/WA-Altius-ALTCOV-TSTV3IF7HTN4Q3QB/2021		King
10251	USA/WA-UW-2021040505920/2021		King
10252	USA/WA-CDC-LC0367197/2021		King
10253	USA/WA-Altius-ALTCOV-Z4H5D3VQSL2J2BGV/2021		King
10254	USA/WA-CDC-UW21050450328/2021		King
10255	USA/WA-UW-21042955540/2021		King
10256	USA/WA-UW-21042894448/2021		King
10258	USA/WA-UW-21042696314/2021		King
10259	USA/WA-Altius-ALTCOV-KECOEXV6Y6QMO2VI/2021		King
10260	USA/WA-S7401/2021		King
10261	USA/WA-Altius-ALTCOV-3DXTW6TLBHNOCZGG/2021		King
10262	USA/WA-UW-21070270386/2021		King
10263	USA/WA-UW-21042145386/2021		King
10264	USA/WA-Altius-ALTCOV-SYSS6QFBB52XCNDA/2021		King
10265	USA/WA-CDC-UW21121310829/2021		King
10266	USA/WA-CDC-UW21121475948/2021		King
10267	USA/WA-CDC-UW21082074182/2021		King
10268	USA/WA-CDC-UW21100112629/2021		King
10269	USA/WA-CDC-UW21122766427/2021		King
10270	USA/WA-CDC-UW21122463313/2021		King
10271	USA/WA-CDC-UW21122770175/2021		King
10272	USA/WA-CDC-UW21120967127/2021		King
10273	USA/WA-Altius-ALTCOV-HLYQXGFV73YQ3NRN/2021		King
10274	USA/WA-UW-21043008228/2021		King
10275	USA/WA-UW-21043063318/2021		King
10276	USA/WA-UW-21102866626/2021		King
10277	USA/WA-UW-21042922999/2021		King
10278	USA/WA-S8653/2021		King
10279	USA/WA-CDC-UW21052851674/2021		King
10280	USA/WA-CDC-UW21102054402/2021		King
10281	USA/WA-UW-21043043881/2021		King
10282	USA/WA-CDC-LC0342309/2021		King
10283	USA/WA-Altius-ALTCOV-P56ZGAV3YEFQMHQ6/2021		King
10284	USA/WA-UW-67920/2021		King
10285	USA/WA-S6037/2021		King
10286	USA/WA-S6025/2021		King
10287	USA/WA-S5647/2021		King
10288	USA/WA-S3269/2020		King
10289	USA/WA-CDC-UW21060384100/2021		King
10290	USA/WA-S2883/2020		King
10291	USA/WA-CDC-UW21100266908/2021		King
10292	USA/WA-CDC-UW21100225564/2021		King
10293	USA/WA-UW-21080229484/2021		King
10294	USA/WA-UW-21072756779/2021		King
10295	USA/WA-S10062/2021		King
10296	USA/WA-CDC-UW22011025524/2022		King
10297	USA/WA-S17753/2022		King
10298	USA/WA-UW-4041/2020		King
10299	USA/WA-UW-24925/2020		King
10301	USA/WA-S7030/2021		King
10302	USA/WA-UW-21041940798/2021		King
10303	USA/WA-S7415/2021		King
10304	USA/WA-S4685/2020		King
10305	USA/WA-UW-45052/2020		King
10306	USA/WA-CDC-UW21112647826/2021		King
10307	USA/WA-UW-19536/2020		King
10308	USA/WA-PHL-005939/2021		King
10309	USA/WA-UW-62312/2021		King
10310	USA/WA-UW-61444/2021		King
10311	USA/WA-UW-21082063273/2021		King
10312	USA/WA-CDC-UW21082735852/2021		King
10313	USA/WA-UW-21081117794/2021		King
10314	USA/WA-CDC-UW21081769825/2021		King
10315	USA/WA-S17440/2022		King
10316	USA/WA-CDC-UW21090327149/2021		King
10317	USA/WA-UW-59014/2021		King
10318	USA/WA-UW-60610/2021		King
10319	USA/WA-S3545/2021		King
10320	USA/WA-UW-21120224586/2021		King
10321	USA/WA-UW-21120249502/2021		King
10322	USA/WA-UW-21051897603/2021		King
10323	USA/WA-Altius-ALTCOV-EUQ6GBQMDQ5U5BQW/2021		King
10324	USA/WA-CDC-UW21050696322/2021		King
10325	USA/WA-S8271/2021		King
10326	USA/WA-UW-21050501050/2021		King
10327	USA/WA-CDC-UW21050524980/2021		King
10328	USA/WA-S10370/2021		King
10329	USA/WA-CDC-UW22010553132/2022		King
10330	USA/WA-S16713/2022		King
10331	USA/WA-UW-21052769573/2021		King
10332	USA/WA-CDC-UW21121458246/2021		King
10333	USA/WA-CDC-UW21121105620/2021		King
10334	USA/WA-CDC-UW21120489109/2021		King
10335	USA/WA-CDC-UW21120440365/2021		King
10336	USA/WA-CDC-UW21120844603/2021		King
10337	USA/WA-ALTCOV-TNUYTLMKDE3N6LWM/2021		King
10338	USA/WA-CDC-UW21120332227/2021		King
10339	USA/WA-CDC-UW21072191576/2021		King
10340	USA/WA-CDC-LC0053043/2021		King
10341	USA/WA-Altius-ALTCOV-R3DJM7CWSZFURPTZ/2021		King
10342	USA/WA-Altius-ALTCOV-AHOZBLAGJBJSZCU3/2021		King
10343	USA/WA-UW-21081211486/2021		King
10344	USA/WA-CDC-UW21081493662/2021		King
10345	USA/WA-CDC-UW21081600118/2021		King
10346	USA/WA-UW-21080779654/2021		King
10347	USA/WA-UW-21080936858/2021		King
10348	USA/WA-CDC-UW21080822886/2021		King
10349	USA/WA-CDC-LC0181371/2021		King
10350	USA/WA-S16491/2022		King
10351	USA/WA-S625/2020		King
10352	USA/WA-UW-47337/2020		King
10353	USA/WA-CDC-UW21082029359/2021		King
10354	USA/WA-Altius-ALTCOV-PACKPYH3QJNXCVHZ/2021		King
10355	USA/WA-UW-21050386519/2021		King
10356	USA/WA-CDC-UW21050617816/2021		King
10357	USA/WA-Altius-ALTCOV-VN4WHXQVOUW6KPEF/2021		King
10358	USA/WA-Altius-ALTCOV-PSWJGDEIBQXE2RQP/2021		King
10360	USA/WA-S5432/2021		King
10361	USA/WA-CDC-UW21072201622/2021		King
10362	USA/WA-S9877/2021		King
10363	USA/WA-S11444/2021		King
10364	USA/WA-CDC-UW21072206896/2021		King
10365	USA/WA-S5160/2021		King
10366	USA/WA-S5118/2021		King
10367	USA/WA-S5447/2021		King
10368	USA/WA-UW-64787/2021		King
10369	USA/WA-UW-66389/2021		King
10370	USA/WA-CDC-UW21082783048/2021		King
10371	USA/WA-S16384/2022		King
10372	USA/WA-CDC-UW22010734743/2022		King
10373	USA/WA-CDC-UW21082139671/2021		King
10374	USA/WA-UW-21082182179/2021		King
10375	USA/WA-CDC-UW21081866232/2021		King
10376	USA/WA-CDC-UW22010718715/2022		King
10377	USA/WA-S16996/2022		King
10378	USA/WA-S572/2020		King
10379	USA/WA-S4570/2021		King
10380	USA/WA-S4628/2021		King
10381	USA/WA-S4838/2021		King
10382	USA/WA-UW-13222/2020		King
10383	USA/WA-S4913/2021		King
10384	USA/WA-UW-60628/2021		King
10385	USA/WA-UW-59009/2021		King
10386	USA/WA-CDC-UW21112053933/2021		King
10387	USA/WA-CDC-UW21102272696/2021		King
10388	USA/WA-CDC-UW21102210609/2021		King
10389	USA/WA-UW-21111515737/2021		King
10390	USA/WA-CDC-UW22010468133/2022		King
10391	USA/WA-S11182/2021		King
10392	USA/WA-CDC-ASC210271899/2021		King
10393	USA/WA-UW-21081117771/2021		King
10394	USA/WA-CDC-UW21092007931/2021		King
10395	USA/WA-CDC-UW21080260945/2021		King
10396	USA/WA-CDC-UW21092269895/2021		King
10397	USA/WA-UW-21080250419/2021		King
10398	USA/WA-UW-21072993082/2021		King
10399	USA/WA-CDC-LC0437450/2021		King
10400	USA/WA-PHL-009574/2021		King
10401	USA/WA-PHL-009634/2021		King
10402	USA/WA-UW-21092166233/2021		King
10403	USA/WA-S2805/2020		King
10404	USA/WA-CDC-UW21070755707/2021		King
10405	USA/WA-UW-22370/2020		King
10406	USA/WA-CDC-LC0270725/2021		King
10407	USA/WA-UW-21051822291/2021		King
10408	USA/WA-CDC-UW21123167997/2021		King
10409	USA/WA-CDC-UW21123196944/2021		King
10410	USA/WA-S16511/2021		King
10411	USA/WA-CDC-UW21092143248/2021		King
10412	USA/WA-CDC-UW21091800200/2021		King
10413	USA/WA-PHL-005029/2021		King
10414	USA/WA-UW-21100538260/2021		King
10415	USA/WA-CDC-UW21100979497/2021		King
10416	USA/WA-CDC-UW21100949467/2021		King
10417	USA/WA-Altius-ALTCOV-AQFUDB5VYDFHGND2/2021		King
10418	USA/WA-CDC-ASC210231710/2021		King
10419	USA/WA-CDC-UW21073035229/2021		King
10420	USA/WA-UW-21072798273/2021		King
10421	USA/WA-CDC-LC0181642/2021		King
10422	USA/WA-UW-21063017699/2021		King
10423	USA/WA-CDC-UW21082664727/2021		King
10424	USA/WA-CDC-UW21082687784/2021		King
10425	USA/WA-CDC-UW21072663363/2021		King
10426	USA/WA-UW-22080/2020		King
10427	USA/WA-UW-68595/2021		King
10428	USA/WA-CDC-UW22010877543/2022		King
10429	USA/WA-S9168/2021		King
10430	USA/WA-CDC-UW21120168293/2021		King
10431	USA/WA-CDC-UW21120162459/2021		King
10432	USA/WA-S11603/2021		King
10433	USA/WA-UW-21081601273/2021		King
10434	USA/WA-S17279/2022		King
10435	USA/WA-CDC-UW21071449247/2021		King
10436	USA/WA-CDC-UW21121348681/2021		King
10437	USA/WA-UW-65875/2021		King
10438	USA/WA-UW-66343/2021		King
10439	USA/WA-PHL-010873/2022		King
10440	USA/WA-UW-22011079937/2022		King
10441	USA/WA-UW-31438/2020		King
10442	USA/WA-CDC-UW21090226728/2021		King
10443	USA/WA-UW-21090803671/2021		King
10444	USA/WA-CDC-UW21111164211/2021		King
10445	USA/WA-CDC-UW21110980178/2021		King
10446	USA/WA-UW-21120269616/2021		King
10447	USA/WA-CDC-UW21120884232/2021		King
10448	USA/WA-CDC-UW21120824510/2021		King
10449	USA/WA-CDC-LC0426472/2021		King
10450	USA/WA-PHL-005004/2021		King
10451	USA/WA-CDC-UW21100190484/2021		King
10452	USA/WA-UW-21092880760/2021		King
10453	USA/WA-CDC-UW21093096532/2021		King
10454	USA/WA-S15543/2021		King
10455	USA/WA-S17278/2022		King
10456	USA/WA-S13557/2021		King
10457	USA/WA-S8617/2021		King
10458	USA/WA-S3294/2020		King
10459	USA/WA-Altius-ALTCOV-IPMPAGG2OCXCZIXC/2021		King
10460	USA/WA-UW-21050508578/2021		King
10461	USA/WA-S17698/2022		King
10462	USA/WA-S17689/2022		King
10464	USA/WA-UW-22011090972/2022		King
10465	USA/WA-UW-6181/2020		King
10466	USA/WA-UW-21042161902/2021		King
10467	USA/WA-UW-3941/2020		King
10468	USA/WA-S15877/2021		King
10469	USA/WA-CDC-UW21121993123/2021		King
10470	USA/WA-S15908/2021		King
10471	USA/WA-UW-26866/2020		King
10472	USA/WA-CDC-UW21090784992/2021		King
10473	USA/WA-CDC-UW21090809983/2021		King
10474	USA/WA-S12637/2021		King
10475	USA/WA-CDC-UW21092510909/2021		King
10476	USA/WA-S15277/2021		King
10477	USA/WA-PHL-009644/2021		King
10478	USA/WA-Altius-ALTCOV-ZC6J2UM6TBCDZKDN/2021		King
10479	USA/WA-Altius-ALTCOV-7I6OSEQWQHZWZMAQ/2021		King
10480	USA/WA-CDC-UW21051748121/2021		King
10481	USA/WA-UW-21042158865/2021		King
10482	USA/WA-UW-21042142133/2021		King
10483	USA/WA-UW-21041938589/2021		King
10484	USA/WA-UW-65839/2021		King
10485	USA/WA-CDC-UW21050616494/2021		King
