,ZIP,sum_essential,total
6166,19735,0.0,8.0
6167,19736,0.0,24.0
6168,19801,4131.0,6714.0
6169,19802,6415.0,11845.0
6170,19803,3945.0,10437.0
6171,19804,5431.0,8438.0
6172,19805,11977.0,18350.0
6173,19806,1588.0,5677.0
6174,19807,940.0,3321.0
6175,19808,11088.0,20320.0
6176,19809,3057.0,7229.0
6177,19810,5470.0,11992.0
6178,19901,9277.0,14812.0
6179,19902,0.0,0.0
6180,19904,11251.0,17949.0
6181,19930,462.0,955.0
6182,19931,110.0,141.0
6183,19933,3073.0,4528.0
6184,19934,3872.0,6292.0
6185,19936,153.0,161.0
6186,19938,2764.0,3959.0
6187,19939,2123.0,3230.0
6188,19940,2197.0,3092.0
6189,19941,1036.0,1473.0
6190,19943,3303.0,5677.0
6191,19944,80.0,186.0
6192,19945,1943.0,2987.0
6193,19946,1362.0,2146.0
6194,19947,5876.0,8045.0
6195,19950,2408.0,3546.0
6196,19951,596.0,945.0
6197,19952,3306.0,5026.0
6198,19953,1731.0,2550.0
6199,19954,443.0,602.0
6200,19955,39.0,41.0
6201,19956,4382.0,6491.0
6202,19958,5901.0,10915.0
6203,19960,1949.0,3026.0
6204,19962,2488.0,5137.0
6205,19963,6318.0,9698.0
6206,19964,455.0,524.0
6207,19966,8466.0,13777.0
6208,19967,152.0,316.0
6209,19968,3009.0,5776.0
6210,19970,1624.0,3237.0
6211,19971,3249.0,6589.0
6212,19973,7621.0,12197.0
6213,19975,2573.0,4082.0
6214,19977,6596.0,10931.0
6215,19979,354.0,476.0
6216,20001,7430.0,31195.0
6217,20002,12805.0,41897.0
6218,20003,3402.0,20234.0
6219,20004,227.0,1491.0
6220,20005,2524.0,9916.0
6221,20006,421.0,933.0
6222,20007,3846.0,16062.0
6223,20008,2939.0,19466.0
6224,20009,6764.0,38883.0
6225,20010,7826.0,23373.0
6226,20011,17580.0,37452.0
6227,20012,3487.0,9914.0
6228,20015,1542.0,8042.0
6229,20016,3942.0,17837.0
6230,20017,3909.0,10583.0
6231,20018,3679.0,9662.0
6232,20019,14840.0,24348.0
6233,20020,12796.0,21337.0
6234,20024,2311.0,9433.0
6235,20032,9806.0,15635.0
6236,20036,828.0,4065.0
6237,20037,1959.0,8006.0
6238,20045,0.0,0.0
6239,20052,9.0,26.0
6240,20053,0.0,0.0
6241,20057,639.0,1322.0
6242,20064,399.0,719.0
6243,20105,4956.0,14414.0
6244,20106,1238.0,2344.0
6245,20109,14978.0,23788.0
6246,20110,14931.0,24959.0
6247,20111,12221.0,20044.0
