,migration_direction,year-month,tree_number,total_transitions,transitions_in_time_interval,proportion_transitions_in_time_interval,mig_per_lineage,mig_per_bl,region
0,none-to-North_King_County,2021-01,3,1151,21,0.018245004344048653,,29.99244873974564,North King County
0,none-to-North_King_County,2021-11,3,1151,59,0.051259774109470024,,143.53283010820346,North King County
0,none-to-North_King_County,2021-03,3,1151,70,0.060816681146828845,2.5,50.376692212903684,North King County
0,none-to-North_King_County,2021-04,3,1151,111,0.09643788010425716,,77.85821467173537,North King County
0,none-to-North_King_County,2020-10,3,1151,9,0.007819287576020852,1.8,20.274035237197083,North King County
0,none-to-North_King_County,2021-08,3,1151,80,0.06950477845351868,8.0,199.82362066861964,North King County
0,none-to-North_King_County,2022-03,3,1151,7,0.006081668114682885,0.7,600.4213296045959,North King County
0,none-to-North_King_County,2020-05,3,1151,3,0.0026064291920069507,,3.738019855525553,North King County
0,none-to-North_King_County,2021-10,3,1151,38,0.03301476976542137,,120.63131430003543,North King County
0,none-to-North_King_County,2021-12,3,1151,156,0.1355343179843614,3.9,51.36063725723037,North King County
0,none-to-North_King_County,2021-06,3,1151,36,0.03127715030408341,,45.00672927939281,North King County
0,none-to-North_King_County,2021-09,3,1151,37,0.03214596003475239,1.7903225806451613,34.29531888586736,North King County
0,none-to-North_King_County,2020-09,3,1151,8,0.0069504778453518675,2.0,36.61262991173613,North King County
0,none-to-North_King_County,2021-05,3,1151,59,0.051259774109470024,,32.23622375558323,North King County
0,none-to-North_King_County,2020-04,3,1151,8,0.0069504778453518675,,5.782021309790281,North King County
0,none-to-North_King_County,2021-07,3,1151,80,0.06950477845351868,5.1063829787234045,93.05334418679922,North King County
0,none-to-North_King_County,2022-02,3,1151,111,0.09643788010425716,3.7,65.09811259186397,North King County
0,none-to-North_King_County,2020-02,3,1151,22,0.019113814074717638,1.5714285714285714,22.27378529191044,North King County
0,none-to-North_King_County,2020-08,3,1151,6,0.005212858384013901,2.0,34.22449979511797,North King County
0,none-to-North_King_County,2020-12,3,1151,15,0.013032145960034752,2.727272727272727,41.90501897422295,North King County
0,none-to-North_King_County,2020-07,3,1151,1,0.0008688097306689834,,2.711848748931694,North King County
0,none-to-South_King_County,2020-06,3,910,7,0.007692307692307693,,5.065266078352593,South King County
0,none-to-South_King_County,2020-11,3,910,24,0.026373626373626374,2.0,39.01916889008396,South King County
0,none-to-South_King_County,2022-01,3,910,52,0.05714285714285714,2.7857142857142856,61.155254376868,South King County
0,none-to-South_King_County,2021-02,3,910,21,0.023076923076923078,0.9130434782608695,15.72800292868617,South King County
0,none-to-South_King_County,2020-03,3,910,33,0.03626373626373627,3.6666666666666665,38.752628986865524,South King County
0,none-to-South_King_County,2021-01,3,910,32,0.035164835164835165,4.0,43.253208245159186,South King County
0,none-to-South_King_County,2021-11,3,910,62,0.06813186813186813,,59.02780807262557,South King County
0,none-to-South_King_County,2021-03,3,910,56,0.06153846153846154,0.9032258064516129,12.76831179914434,South King County
0,none-to-South_King_County,2021-04,3,910,137,0.15054945054945054,1.814569536423841,31.23330958430096,South King County
0,none-to-South_King_County,2020-10,3,910,15,0.016483516483516484,2.586206896551724,57.0551031640058,South King County
0,none-to-South_King_County,2021-08,3,910,36,0.03956043956043956,2.1176470588235294,43.364517683116304,South King County
0,none-to-South_King_County,2022-03,3,910,2,0.002197802197802198,,179.28588476028204,South King County
0,none-to-South_King_County,2020-05,3,910,5,0.005494505494505495,,6.313814313664793,South King County
0,none-to-South_King_County,2021-10,3,910,35,0.038461538461538464,,56.11749346140583,South King County
0,none-to-South_King_County,2021-12,3,910,73,0.08021978021978023,1.2372881355932204,20.652810554446393,South King County
0,none-to-South_King_County,2021-06,3,910,51,0.056043956043956046,1.2993630573248407,24.20366475811489,South King County
0,none-to-South_King_County,2021-09,3,910,26,0.02857142857142857,1.7333333333333334,33.16255103472053,South King County
0,none-to-South_King_County,2020-09,3,910,6,0.006593406593406593,1.0,16.09512356177399,South King County
0,none-to-South_King_County,2021-05,3,910,88,0.0967032967032967,1.1139240506329113,23.014945772755883,South King County
0,none-to-South_King_County,2020-04,3,910,6,0.006593406593406593,,8.384423813237824,South King County
0,none-to-South_King_County,2021-07,3,910,59,0.06483516483516484,3.6307692307692307,78.79081717839207,South King County
0,none-to-South_King_County,2022-02,3,910,40,0.04395604395604396,2.2857142857142856,56.30243926080317,South King County
0,none-to-South_King_County,2020-02,3,910,7,0.007692307692307693,3.5,99.55213632924254,South King County
0,none-to-South_King_County,2020-08,3,910,10,0.01098901098901099,1.2,50.73762637357851,South King County
0,none-to-South_King_County,2020-12,3,910,18,0.01978021978021978,,40.95994129935306,South King County
0,none-to-South_King_County,2020-07,3,910,9,0.00989010989010989,,10.405358750530397,South King County
0,none-to-North_King_County,2020-06,4,1132,9,0.007950530035335688,0.42857142857142855,18.851446356075915,North King County
0,none-to-North_King_County,2020-11,4,1132,15,0.013250883392226149,2.5,46.196752620848926,North King County
0,none-to-North_King_County,2022-01,4,1132,144,0.127208480565371,3.5121951219512195,93.66793854936563,North King County
0,none-to-North_King_County,2021-02,4,1132,28,0.024734982332155476,2.1538461538461537,53.11305485241811,North King County
0,none-to-North_King_County,2020-03,4,1132,23,0.020318021201413426,0.6764705882352942,11.379536874145302,North King County
0,none-to-North_King_County,2021-01,4,1132,22,0.019434628975265017,3.473684210526316,80.37562341712902,North King County
0,none-to-North_King_County,2021-11,4,1132,69,0.060954063604240286,3.45,84.72102384058387,North King County
0,none-to-North_King_County,2021-03,4,1132,55,0.04858657243816254,,44.32122456469958,North King County
0,none-to-North_King_County,2021-04,4,1132,132,0.1166077738515901,,58.469718506626705,North King County
0,none-to-North_King_County,2020-10,4,1132,14,0.012367491166077738,2.3333333333333335,35.39206045017216,North King County
0,none-to-North_King_County,2021-08,4,1132,78,0.06890459363957598,3.9,65.45878738374978,North King County
0,none-to-North_King_County,2022-03,4,1132,4,0.0035335689045936395,1.3333333333333333,133.5837052423742,North King County
0,none-to-North_King_County,2020-05,4,1132,7,0.006183745583038869,0.25925925925925924,6.044043470442814,North King County
0,none-to-North_King_County,2021-10,4,1132,38,0.03356890459363958,2.111111111111111,64.94242265573094,North King County
0,none-to-North_King_County,2021-12,4,1132,152,0.13427561837455831,2.6206896551724137,50.18735405672643,North King County
0,none-to-North_King_County,2021-06,4,1132,35,0.030918727915194347,,33.534745190122436,North King County
0,none-to-North_King_County,2021-09,4,1132,34,0.030035335689045935,1.511111111111111,43.91283853717272,North King County
0,none-to-North_King_County,2020-09,4,1132,4,0.0035335689045936395,2.0,39.267133031678355,North King County
0,none-to-North_King_County,2021-05,4,1132,50,0.044169611307420496,,29.45107911716231,North King County
0,none-to-North_King_County,2020-04,4,1132,10,0.0088339222614841,0.3508771929824561,12.209070817229371,North King County
0,none-to-North_King_County,2021-07,4,1132,84,0.07420494699646643,5.6,101.194359700594,North King County
0,none-to-North_King_County,2022-02,4,1132,71,0.0627208480565371,2.1515151515151514,48.12479078571531,North King County
